begin;0,0;0,174.75;324,0;324,174.75;0,0;0,174.75;324,0;324,174.75
29187;0.25,32.25;37.5,70;269.75,10.5;312.25,70;0.25,32.25;33,61.5;226,15.5;264.75,133
29441;1.25,58.75;37.5,70;284.5,27;309.25,71.25;25.75,21.5;33,61.5;209,45.25;264.75,133
6851;1.25,58.75;17,81.75;269.25,11;312.25,72.5;44.75,39.5;46.75,53.25;209,45.25;263.5,133.75
20891;5.25,53.5;17,81.75;274.5,40.5;309.25,71.25;39.75,36;63.5,31.25;209,45.25;263.5,133.75
12994;30,72.75;33.5,79.75;283.75,41;309.25,71.25;7.75,54.5;63.5,31.25;241.5,55.5;263.5,133.75
28263;30,72.75;53,96.25;270,69.25;309.25,71.25;10,52.75;57.5,56.25;250,71;266,102.75
6795;30,72.75;62.5,115;291.25,81.25;310.5,87.5;15.25,23;58,56.25;250,71;250,105.75
26799;30,72.75;82,95.75;284.75,101;310.5,87.5;32.5,24.5;59,30.5;250.5,72.5;250.5,106.25
13510;32.25,67.5;79.5,75;293.75,100.75;304.5,82.25;32.5,24.5;59,30.5;250.5,72.5;250.5,106.25
31184;25.5,78.25;79.5,75;288.75,104;303.75,69.25;47.25,4.5;59,30.5;250.5,72.5;250.5,106.25
30130;25.5,78.25;86.25,91.5;265.75,118.25;280.25,65.75;41.5,34.25;47.25,4.5;250.5,72.5;267.5,133.5
13377;15.5,103.25;69.25,64.5;284.5,111.75;306.5,87.25;19.5,26;47.25,4.5;250.5,72.5;274.25,113.75
23565;30,103;61.75,36.75;259.5,105.25;306.5,87.25;24.75,61.25;47.25,4.5;243.75,85.25;277.25,132.25
9600;12,104;61.75,36.75;232.25,95.75;307.5,85.25;23,86.25;41,2.75;243.75,85.25;277.25,98
30538;12,104;61.75,36.75;223.75,88.25;299.75,104.25;1,99.75;40.5,2.75;243.75,85.25;290.75,127.25
18647;12,104;53.5,37;223.75,88.25;299.75,104.25;26,91;60.75,29.25;250.75,77;317.75,117.75
22236;14.75,74.5;53.5,37;223.75,88.25;299.75,104.75;21,74.5;33.25,32.25;264,102.5;308.75,87.5
31567;14.75,74.5;25,18.25;234,101.25;299.75,104.75;21,74.5;58.5,14.5;239,122.5;320.5,93.5
